DAY,TIME,COURT,HOME,AWAY,,,,,,
THUR,3:15 PM,29,Bolingbrook Panthers 15U,Virginia Diamonds,,,,,,
THUR,3:15 PM,30,DFW Elite Glamour Girls,North Tartan 13U West,,,,,,
THUR,3:15 PM,31,HLC 15U ,Bulls Elite Silver,,,,,,
THUR,3:15 PM,32,Oshkosh Flight Elite - Levy,Wisconsin Hoops Select Girls Banasik,,,,,,
THUR,3:15 PM,33,Xpress Hoops,WBA Lady Knicks Fioretti,,,,,,
THUR,3:15 PM,34,North Texas Shockers 2016,Illinois Pizazz 17U Green,,,,,,
THUR,3:15 PM,35,AthElite U14,Wisconsin Impact 2018 Thompson,,,,,,
THUR,3:15 PM,36,Flow 14U,Midtown Lady Monarchs,,,,,,
THUR,3:15 PM,37,Celtics 16U,Philadelphia Belles 2016,,,,,,
THUR,3:15 PM,38,Advantage Titans,Lady Challengers,,,,,,
THUR,3:15 PM,39,Pink Panther Hoops,Lady Vikes,,,,,,
THUR,3:15 PM,40,Team Fury Select U17,Team Alberta U17,,,,,,
THUR,3:15 PM,41,Oklahoma Stars 14,Tigers Orange,,,,,,
THUR,3:15 PM,42,Rockford Heat Sophomore,New Jersey Panthers 15U,,,,,,
THUR,3:15 PM,43,Illinois Defenders 17U Black,CT Spirit,,,,,,
THUR,3:15 PM,44,Minnesota Fury 2015 Gold,NY Belles 17U,,,,,,
THUR,3:15 PM,45,Gateway Basketball Club 17U,Erie Saints Chuzie,,,,,,
THUR,3:15 PM,46,Wisconsin Impact Sid,New Mexico Select,,,,,,
THUR,4:30 PM,1,ND Pro 15U,Rush U15,,,,,,
THUR,4:30 PM,2,DC Heat 15U,Illinois Rockets Crilly,,,,,,
THUR,4:30 PM,3,Backyard Training Academy,Arizona Team Ladyhawks,,,,,,
THUR,4:30 PM,4,Oshkosh Flight Elite - Levy,Comets Genther,,,,,,
THUR,4:30 PM,5,Illinois Defenders 15U Black,IL Lady Lightning Silver,,,,,,
THUR,4:30 PM,6,Crossover Premier,Team Wisconsin Select Black,,,,,,
THUR,4:30 PM,7,Team Alberta U15,TeamXpress White 15U,,,,,,
THUR,4:30 PM,8,The Way to Win Gold,Rush U17 Red,,,,,,
THUR,4:30 PM,9,EJ Hoops U17 Black,South Texas Hoyas Blue,,,,,,
THUR,4:30 PM,10,The Family 17U,Sting Elite of Massachusetts,,,,,,
THUR,4:30 PM,11,Colorado Hoopsters Blue,Alaska Lady Hoops 15,,,,,,
THUR,4:30 PM,12,PA Running Rebels 16U,Canada Drive 16U,,,,,,
THUR,4:30 PM,13,Positive Direction 16U,CBC 16U ,,,,,,
